userid,username,hashedpw,salt,name,nric,contact,email,emailverified
6d754b1a-35de-11ed-bfd8-924eac19c426,Travis_Cox,a0c86c0c69e5b71732fcae33dc91c31e,QcYc3kGmYv,Travis Cox,T57402653Q,<function generate_contact at 0x101df15e0>,Travis_Cox@yahoo.com,false
6d755650-35de-11ed-bfd8-924eac19c426,Lynn_Marquez,f394b836d68d433a1e8bb8ee98c8cecf,1cCYo3261t,Lynn Marquez,T70156803C,<function generate_contact at 0x101df15e0>,Lynn_Marquez@yahoo.com,false
6d755c7c-35de-11ed-bfd8-924eac19c426,Christopher_Jones,82975c8863b2aec7bbdbdc12f417ec69,d96jEYkuVV,Christopher Jones,T78613301G,<function generate_contact at 0x101df15e0>,Christopher_Jones@outlook.com,false
6d756230-35de-11ed-bfd8-924eac19c426,Timothy_Anderson,7c344924f2ce2920719a2ccc15044328,7dGLz2nuCh,Timothy Anderson,S91423826T,<function generate_contact at 0x101df15e0>,Timothy_Anderson@yahoo.com,false
6d7567ee-35de-11ed-bfd8-924eac19c426,Michael_Long,1bcd3a41de586f7a1cfb9360f481e91b,7765ByHShV,Michael Long,T49854180J,<function generate_contact at 0x101df15e0>,Michael_Long@gmail.com,false
6d756da2-35de-11ed-bfd8-924eac19c426,Austin_White,1023103f0f25d90d25268b2f49a96ce9,t1vbMdutIA,Austin White,T37216992L,<function generate_contact at 0x101df15e0>,Austin_White@yahoo.com,false
6d757342-35de-11ed-bfd8-924eac19c426,Shawn_Wong,eabb364255656e5a042a3943cd8796b0,SqfLNJDL0x,Shawn Wong,T5924256A,<function generate_contact at 0x101df15e0>,Shawn_Wong@yahoo.com,false
6d7578ce-35de-11ed-bfd8-924eac19c426,Tiffany_Johnson,30270704142766af017fd32ab52e2abd,3p6568zom1,Tiffany Johnson,T74189244R,<function generate_contact at 0x101df15e0>,Tiffany_Johnson@gmail.com,false
6d757e50-35de-11ed-bfd8-924eac19c426,Gregory_Mccoy,337e417d4b8af57fa037ecbd25002b18,3eyUqP78Ch,Gregory Mccoy,S84798313X,<function generate_contact at 0x101df15e0>,Gregory_Mccoy@yahoo.com,false
6d7583e6-35de-11ed-bfd8-924eac19c426,Summer_Wise,7507e0d9dc08aabc0898594fa57ac60f,JcFqKJmwul,Summer Wise,S13420427A,<function generate_contact at 0x101df15e0>,Summer_Wise@outlook.com,false
6d7589a4-35de-11ed-bfd8-924eac19c426,Chelsea_Williamson,7d5c49a05a04ccfd405a7b4212b9a7db,34zcwhDDIL,Chelsea Williamson,S84090053B,<function generate_contact at 0x101df15e0>,Chelsea_Williamson@yahoo.com,false
6d758f58-35de-11ed-bfd8-924eac19c426,Raymond_Riley,0e4f48fc348dca77cde38609b63e0420,5zVXQHf3Wm,Raymond Riley,T60334509G,<function generate_contact at 0x101df15e0>,Raymond_Riley@yahoo.com,false
